text,label,scenario_type,channel,speaker_role_pattern,fraud_stage,has_code_request,has_money_transfer_request,has_urgency,has_threat,has_authority_impersonation,has_sensitive_data_request,has_remote_access_request,victim_confused_or_resisting,risk_markers_count
Ваш заблокирован Разблокировка стоит,fraud,generic_fraud,sms,single_message,unknown,0,0,0,1,0,0,0,0,1
Ваш интернет будет отключен за нарушения Оплатите штраф,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,1,0,0,0,0,2
Ваш компьютер заражен вирусами Оплатите очистку,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Прием у стоматолог отменен Перенесли на в Подтвердите пожалуйста,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Роуминг активирован Стоимость интернет звонки,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Билеты на концерт забронированы Место ряд,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Результаты анализов критичные Нужно срочное обследование за,fraud,medical_or_service,sms,single_message,pressure,0,0,1,0,0,0,0,0,1
Баланс карты Последняя операция,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Проблема по заявке решена Оцените качество работы специалиста С уважением поддержки,normal,benign_service,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Папа это я Саша Попал в аварию нужны деньги на ремонт,fraud,relative_in_trouble,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Бабушка это внук Помоги деньгами верну завтра,fraud,relative_in_trouble,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Посылка из за границы Таможенная пошлина,fraud,delivery_fee,sms,single_message,unknown,0,1,0,0,0,0,0,0,1
Кто то пытается войти в ваш онлайн Назовите код для блокировки входа,fraud,generic_fraud,sms,single_message,data_request,1,0,0,0,0,0,0,0,1
Ваш номер заблокируют за неактивность Активируйте кодом,fraud,generic_fraud,sms,single_message,hook,0,0,0,1,0,0,0,0,1
Ваши деньги в опасности Переведите их на защищенный счет,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,1,0,0,0,0,2
Здравствуйте Ваш номер будет отключен через час продлите сим карту,fraud,sim_block,sms,single_message,hook,0,0,0,1,0,0,0,0,1
Здравствуйте это Ваша SIM карта будет заблокирована через час Для продления назовите код,fraud,sim_block,sms,single_message,data_request,1,0,0,1,0,0,0,0,2
Заочное решение о взыскании Отмените оплатив госпошлину,fraud,delivery_fee,sms,single_message,transfer_request,0,1,0,1,0,0,0,0,2
Ваши активы будут арестованы Сохраните их переведя на спецсчет,fraud,safe_account,sms,single_message,transfer_request,0,1,0,1,0,0,0,0,2
Билеты на спектакль забронированы Место ряд Спасибо за обращение,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш сын попал в больницу Нужны деньги на срочную операцию,fraud,relative_in_trouble,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Справка готова Получите в регистратуре предъявив паспорт,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,1,0,0,1
Посылка из за границы Таможенная пошлина Времени мало,fraud,delivery_fee,sms,single_message,pressure,0,1,1,0,0,0,0,0,2
Ваши документы используются мошенниками Переведите деньги на безопасный счет Не откладывайте,fraud,safe_account,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
ВНИМАНИЕ Ваш паспорт недействителен Восстановите через портал оплатив,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,1,0,0,2
Поздравляем Ваш номер выиграл в лотерее Получите приз по ссылке,fraud,generic_fraud,sms,single_message,hook,0,0,0,0,0,0,0,0,0
Билет на поезд А забронирован Место,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
в пути с заказом Ожидаемое время доставки,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
На вашем счету подозрительная операция на Подтвердите что это вы,fraud,generic_fraud,sms,single_message,hook,0,0,0,1,0,0,0,0,1
Тренировка в в отменяется Хорошего дня,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш тариф будет изменен на дорогой Отмените изменения кодом,fraud,generic_fraud,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Акция завершена Ваш приз Переведите за оформление документов,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
